Row Labels,Count of Latency
"1728782088287	",22
"1728782088288	",32
"1728782088289	",18
"1728782088290	",29
"1728782088291	",25
"1728782088292	",23
"1728782088293	",22
"1728782088294	",30
"1728782088295	",26
"1728782088296	",22
"1728782088297	",26
"1728782088298	",26
"1728782088299	",26
"1728782088300	",24
"1728782088301	",27
"1728782088302	",22
"1728782088303	",25
"1728782088304	",22
"1728782088305	",28
"1728782088306	",22
"1728782088307	",26
"1728782088308	",21
"1728782088309	",31
"1728782088310	",24
"1728782088311	",26
"1728782088312	",22
"1728782088313	",28
"1728782088314	",28
"1728782088315	",18
"1728782088316	",26
"1728782088317	",29
"1728782088318	",24
"1728782088319	",27
"1728782088320	",24
"1728782088321	",26
"1728782088322	",22
"1728782088323	",31
"1728782088324	",25
"1728782088325	",21
"1728782088326	",24
"1728782088327	",28
"1728782088328	",29
"1728782088329	",23
"1728782088330	",22
"1728782088331	",27
"1728782088332	",29
"1728782088333	",20
"1728782088334	",27
"1728782088335	",25
"1728782088336	",28
"1728782088337	",22
"1728782088338	",28
"1728782088339	",22
"1728782088340	",28
"1728782088341	",24
"1728782088342	",29
"1728782088343	",20
"1728782088344	",24
"1728782088345	",27
"1728782088346	",26
"1728782088347	",24
"1728782088348	",26
"1728782088349	",19
"1728782088353	",32
"1728782088354	",20
"1728782088355	",23
"1728782088356	",25
"1728782088357	",27
"1728782088358	",19
"1728782088359	",29
"1728782088360	",27
"1728782088361	",18
"1728782088362	",28
"1728782088363	",27
"1728782088364	",22
"1728782088365	",27
"1728782088366	",21
"1728782088367	",29
"1728782088368	",25
"1728782088369	",23
"1728782088370	",26
"1728782088371	",29
"1728782088372	",24
"1728782088373	",20
"1728782088374	",28
"1728782088375	",31
"1728782088376	",20
"1728782088377	",24
"1728782088378	",26
"1728782088379	",28
"1728782088380	",23
"1728782088381	",22
"1728782088382	",30
"1728782088383	",25
"1728782088384	",25
"1728782088385	",27
"1728782088386	",24
"1728782088387	",27
"1728782088388	",21
"1728782088389	",24
"1728782088390	",29
"1728782088391	",26
"1728782088392	",21
"1728782088393	",28
"1728782088394	",27
"1728782088395	",23
"1728782088396	",25
"1728782088397	",27
"1728782088398	",28
"1728782088399	",24
"1728782088400	",24
"1728782088401	",27
"1728782088402	",28
"1728782088403	",23
"1728782088404	",26
"1728782088405	",26
"1728782088406	",25
"1728782088407	",24
"1728782088408	",31
"1728782088409	",25
"1728782088410	",25
"1728782088411	",26
"1728782088412	",25
"1728782088413	",28
"1728782088414	",27
"1728782088415	",24
"1728782088416	",25
"1728782088417	",30
"1728782088418	",20
"1728782088419	",28
"1728782088420	",28
"1728782088421	",22
"1728782088422	",27
"1728782088423	",24
"1728782088424	",30
"1728782088425	",21
"1728782088426	",26
"1728782088427	",27
"1728782088428	",26
"1728782088429	",24
"1728782088430	",28
"1728782088431	",27
"1728782088432	",24
"1728782088433	",23
"1728782088434	",26
"1728782088435	",28
"1728782088436	",27
"1728782088437	",18
"1728782088438	",30
"1728782088439	",25
"1728782088440	",28
"1728782088441	",22
"1728782088442	",26
"1728782088443	",26
"1728782088444	",27
"1728782088445	",28
"1728782088446	",25
"1728782088447	",25
"1728782088448	",25
"1728782088449	",26
"1728782088450	",29
"1728782088451	",21
"1728782088452	",28
"1728782088453	",25
"1728782088454	",26
"1728782088455	",22
"1728782088456	",30
"1728782088457	",27
"1728782088458	",22
"1728782088459	",26
"1728782088460	",26
"1728782088461	",30
"1728782088462	",17
"1728782088463	",25
"1728782088464	",30
"1728782088465	",27
"1728782088466	",20
"1728782088467	",25
"1728782088468	",28
"1728782088469	",30
"1728782088470	",20
"1728782088471	",24
"1728782088472	",28
"1728782088473	",26
"1728782088474	",21
"1728782088475	",29
"1728782088476	",27
"1728782088477	",24
"1728782088478	",20
"1728782088479	",32
"1728782088480	",25
"1728782088481	",20
"1728782088482	",28
"1728782088483	",26
"1728782088484	",30
"1728782088485	",17
"1728782088486	",27
"1728782088487	",31
"1728782088488	",25
"1728782088489	",19
"1728782088490	",27
"1728782088491	",30
"1728782088492	",22
"1728782088493	",22
"1728782088494	",32
"1728782088495	",27
"1728782088496	",19
"1728782088497	",25
"1728782088498	",29
"1728782088499	",24
"1728782088500	",23
"1728782088501	",28
"1728782088502	",24
"1728782088503	",29
"1728782088504	",22
"1728782088505	",30
"1728782088506	",22
"1728782088507	",27
"1728782088508	",23
"1728782088509	",26
"1728782088510	",27
"1728782088511	",25
"1728782088512	",20
"1728782088513	",28
"1728782088514	",29
"1728782088515	",24
"1728782088516	",21
"1728782088517	",28
"1728782088518	",31
"1728782088519	",20
"1728782088520	",14
"1728782088560	",6
"1728782088561	",28
"1728782088562	",30
"1728782088563	",4
"1728782088564	",4
"1728782088565	",27
"1728782088566	",2
"1728782088568	",32
"1728782088570	",11
